Column1,SDURAKKODU,SDURAKADI,lon,lat,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM,28.99386488,41.03851705
7501,203042,İMRENDERE,29.599634,41.142191,Sile,DEREÇAYIRI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0541679999906 41.0346120005594),
7502,203051,OVACIK,29.617494,41.116066,Sile,SILE,YOK,AÇIK,İETTMODERN,Uygun Degil,29.0541849907763 41.1379869660298),
7503,203052,OVACIK,29.61750896,41.11936604,Sile,DEREÇAYIRI,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0542659704003 41.1127889975914),
7504,203061,HALLI,29.652012,41.059038,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0543319999905 41.0812340005668),
7505,203062,HALLI,29.651998,41.059113,Sile,DEREÇAYIRI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0543499934017 41.1116630290468),
7506,203071,DEMİRCİLİ,29.649756,41.035926,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0543689999907 40.9998850005538),
7507,203072,DEMİRCİLİ,29.649664,41.03601,Sile,DEREÇAYIRI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0543970423541 41.1381970162611),
7508,203081,SARIKAVAK,29.649567,41.026083,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0544099897567 41.1770240261303),
7509,203082,SARIKAVAK,29.649498,41.026158,Sile,DEREÇAYIRI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0544500449337 41.1240859889802),
7510,203091,HASANLI,29.664907,41.017962,Sile,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0544620109262 41.1128020444692),
7511,203092,HASANLI,29.664926,41.01806,Sile,DEREÇAYIRI,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0544651665075 40.8788947168271),
7512,203101,ÇENGİLLİ,29.672164,41.004245,Sile,SILE,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil,29.0544939999906 41.0482080005615),
7513,203102,ÇENGİLLİ,29.672131,41.004139,Sile,DEREÇAYIRI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0545450000114 41.0239559991164),
7514,203111,ÖRCÜNLÜ,29.657882,40.985641,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0546229999907 41.0067570005549),
7515,203112,ÖRCÜNLÜ,29.657909,40.985706,Sile,DEREÇAYIRI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.054651975605 41.2386039607078),
7516,203121,YAKA,29.652755,40.992294,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0547749519832 41.0277520237297),
7517,203122,YAKA,29.652886,40.992366,Sile,DEREÇAYIRI,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0547979999907 41.0051320005546),
7518,203131,EZİLLİ MAHALLESİ,29.645401,40.996126,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0548660169186 41.0927789988221),
7519,203132,EZİLLİ MAHALLESİ,29.6455,40.996163,Sile,DEREÇAYIRI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0548805936405 40.9080932665812),
7520,203141,DEĞİRMEN ÇAYIRI,29.66108,40.976324,Sile,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0548869999906 41.0276680005582),
7521,203151,ÜVEZLİ MERKEZ,29.44385,41.114936,Sile,SON DURAK,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0548890373141 41.1012009577144),
7522,203161,KÖMÜRLÜK,29.435697,41.079961,Sile,SILE,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0549419999907 40.9919250005525),
7523,203162,KÖMÜRLÜK,29.435933,41.079603,Sile,ÜVEZLI,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0549989999907 41.0049180005546),
