HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
122V,VEYSEL KARANİ - 4.LEVENT METRO,122V/VEYSEL KARANİ - 4.LEVENT METRO,1,Anadolu2,184.4
122Y,ÇEKMEKÖY - MECİDİYEKÖY ,122Y/ÇEKMEKÖY - MECİDİYEKÖY,1,Anadolu2,234.38
129L,KOZYATAĞI - 4.LEVENT METRO,129L/KOZYATAĞI - 4.LEVENT METRO,1,Anadolu1,124.54
129T,BOSTANCI - TAKSİM,129T/BOSTANCI - TAKSİM,1,Anadolu1,105.75
12A,KADIKÖY - ÜSKÜDAR,12A/KADIKÖY - ÜSKÜDAR,1,Anadolu1,35.46
12C,ÜSKÜDAR DEVLET HASTANESİ - ÜSKÜDAR ,12C/ÜSKÜDAR DEVLET HASTANESİ - ÜSKÜDAR,1,Anadolu1,29.81
13,ATAŞEHİR / ÇAKMAK MAHALLESİ - KADIKÖY,13/ATAŞEHİR / ÇAKMAK MAHALLESİ - KADIKÖY,1,Anadolu1,110.24
130A,DENİZ HARP OKULU - KADIKÖY ,130A/DENİZ HARP OKULU - KADIKÖY,1,Anadolu2,201.61
130E,TUZLA / EVORA KONUTLARI - KARTAL METRO / CEVİZLİ,130E/TUZLA / EVORA KONUTLARI - KARTAL METRO / CEVİZLİ,1,Anadolu2,169.03
130H,DENİZ HARP OKULU - SABİHA GÖKÇEN HAVALİMANI,130H/DENİZ HARP OKULU - SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,168.38
130Ş,ŞİFA MAHALLESİ - KADIKÖY,130Ş/ŞİFA MAHALLESİ - KADIKÖY,1,Anadolu2,204.02
130ŞT,ŞİFA MAHALLESİ - TAVŞANTEPE METRO,130ŞT/ŞİFA MAHALLESİ - TAVŞANTEPE METRO,1,Anadolu2,80.83
130T,AYDINLI TOKİ KONUTLARI - TUZLA,130T/AYDINLI TOKİ KONUTLARI - TUZLA,1,Anadolu2,87.76
131,SULTANBEYLİ - ÜMRANİYE ,131/SULTANBEYLİ - ÜMRANİYE,1,Anadolu2,126.21
131A,AHMET YESEVİ MAHALLESİ - ÜMRANİYE ,131A/AHMET YESEVİ MAHALLESİ - ÜMRANİYE,1,Anadolu2,122.15
131B,MİMAR SİNAN MAHALLESİ - ÜMRANİYE  ,131B/MİMAR SİNAN MAHALLESİ - ÜMRANİYE,1,Anadolu2,138.8
131C,SABİHA GÖKÇEN H.L./SULTANBEYLİ - NECİP FAZIL METRO,131C/SABİHA GÖKÇEN H.L./SULTANBEYLİ - NECİP FAZIL METRO,1,Anadolu2,121.85
131H,HİLAL KONUTLARI - TEPEÜSTÜ,131H/HİLAL KONUTLARI - TEPEÜSTÜ,1,Anadolu2,127.73
131K,YEŞİLTEPE / ŞAHİNBEY - KARTAL ,131K/YEŞİLTEPE / ŞAHİNBEY - KARTAL,1,Anadolu2,138.81
131SB,SULTANBEYLİ MERKEZ-SULTANBEYLİ YENİ DEVLET HAST.,131SB/SULTANBEYLİ MERKEZ-SULTANBEYLİ YENİ DEVLET HAST.,1,Anadolu2,91.81
131T,ATATÜRK MAH./ TAŞDELEN - İMES/ ÜMRANİYE,131T/ATATÜRK MAH./ TAŞDELEN - İMES/ ÜMRANİYE,1,Anadolu2,113.33
131TD,TAŞDELEN - ÜMRANİYE,131TD/TAŞDELEN - ÜMRANİYE,1,Anadolu2,114.37
131Ü,SULTANBEYLİ ORMAN CADDESİ - ÜMRANİYE ,131Ü/SULTANBEYLİ ORMAN CADDESİ - ÜMRANİYE,1,Anadolu2,132.37
131V,VEYSEL KARANİ - YAKACIK / KARTAL,131V/VEYSEL KARANİ - YAKACIK / KARTAL,1,Anadolu2,110.77
131Y,ÇEKMEKÖY/SAMANDIRA-KARTAL  ,131Y/ÇEKMEKÖY/SAMANDIRA-KARTAL,1,Anadolu2,131.75
131YS,SULTANBEYLİ DEVLET HASTANESİ - YENİDOĞAN - ÜMRANİYE,131YS/SULTANBEYLİ DEVLET HASTANESİ - YENİDOĞAN - ÜMRANİYE,1,Anadolu2,121.96
132,AKFIRAT / TEPEÖREN - KARTAL,132/AKFIRAT / TEPEÖREN - KARTAL,1,Anadolu2,138.1
132A,ÇAMLIK MAHALLESİ - KARTAL,132A/ÇAMLIK MAHALLESİ - KARTAL,1,Anadolu2,95.5
